model,letnik,prevozeni_kilometri,gorivo,prostornina_v_ccm,moc_v_kW,menjalnik,cena_v_evrih
-,2008,320000,dizel,2489,100,avtomatski,9000
Beetle,2000,203000,bencin,1984,85,ročni,1390
Beetle,2013,53343,bencin,1390,118,ročni,14970
Beetle,2005,167900,dizel,1896,74,ročni,4450
Beetle,1999,232000,dizel,1896,66,ročni,2650
Beetle,2012,175000,dizel,1598,77,ročni,10200
Beetle,2000,289000,dizel,1896,66,ročni,1450
Beetle,2013,122000,dizel,1968,103,ročni,12888
Beetle,1999,280500,dizel,1896,66,ročni,2990
Beetle,2003,223000,dizel,1896,66,ročni,2000
CC,2012,167000,dizel,1968,130,avtomatski,17480
CC,2014,133700,dizel,1968,103,ročni,14950
CC,2010,171000,dizel,1968,103,ročni,11500
CC,2012,191500,dizel,1968,103,ročni,13490
CC,2012,135902,dizel,1968,103,ročni,13900
CC,2014,89000,dizel,1968,103,ročni,16950
CC,2013,166000,dizel,1968,103,ročni,14350
Caddy,1997,203446,dizel,1896,47,ročni,1100
Caddy,1998,228000,dizel,1896,47,ročni,550
Caddy,2018,20442,dizel,1968,75,avtomatski,23999
Caddy,2015,35000,dizel,1598,75,ročni,8790
Caddy,2013,229000,dizel,1968,81,ročni,11990
Caddy,2008,205000,dizel,1896,77,ročni,2950
Caddy,2004,265000,dizel,1968,51,ročni,3450
Caddy,2013,160000,dizel,1598,75,ročni,9500
Caddy,2015,39000,dizel,1598,75,ročni,16000
Caddy,2010,305000,dizel,1896,77,ročni,3300
Caddy,2008,242000,dizel,1896,55,ročni,4990
Caddy,2004,277000,dizel,1968,51,ročni,3350
Caddy,2008,360000,dizel,1896,77,ročni,5500
Caddy,2018,0,dizel,1968,110,ročni,31150
Caddy,2012,157000,dizel,1598,55,ročni,6499
Caddy,1992,220000,dizel,1589,44,ročni,2900
Caravelle,1995,250000,dizel,1896,50,ročni,899
Caravelle,2002,310000,dizel,2459,75,ročni,6800
CrossGolf,2013,34700,bencin,1197,77,ročni,11250
CrossTouran,2011,139006,dizel,1598,77,ročni,10800
CrossTouran,2012,125600,dizel,1968,103,ročni,12900
CrossTouran,2009,197555,bencin,1390,103,ročni,6990
Fox,2006,115000,bencin,1198,40,ročni,1750
Fox,2006,94827,bencin,1390,55,ročni,2590
Fox,2007,120000,bencin,1390,55,ročni,2390
Fox,2006,169540,bencin,1390,55,ročni,1990
Golf,2012,143000,dizel,1968,103,ročni,10290
Golf,2003,240000,dizel,1896,50,ročni,2300
Golf,2004,236000,dizel,1968,55,ročni,2700
Golf,2007,260000,dizel,1896,77,ročni,5479
Golf,2000,195500,bencin,1595,74,ročni,1150
Golf,1988,334567,dizel,1588,44,ročni,123
Golf,2015,141237,dizel,1598,81,ročni,11800
Golf,2004,282000,dizel,1896,66,ročni,1890
Golf,2004,254591,dizel,1896,77,ročni,3500
Golf,2013,39383,bencin,1197,77,ročni,12800
Golf,2008,231000,dizel,1896,77,ročni,4300
Golf,2010,212000,dizel,1968,125,avtomatski,9500
Golf,2008,95879,bencin,1595,75,ročni,5600
Golf,2000,240000,dizel,1896,66,ročni,1750
Golf,2012,107000,dizel,1968,103,ročni,8500
Golf,2004,281000,dizel,1896,77,ročni,3490
Golf,1999,330,dizel,1896,81,ročni,1100
Golf,2002,219500,dizel,1896,50,ročni,1600
Golf,2018,17145,dizel,1598,85,ročni,16999
Golf,2015,64000,dizel,1598,77,ročni,12590
Golf,2011,142000,dizel,1598,77,ročni,7500
Golf,2013,146000,dizel,1968,110,ročni,12930
Golf,1999,325000,dizel,1896,81,ročni,1300
Golf,2001,207000,dizel,1896,66,ročni,1500
Golf,2015,90000,dizel,1968,110,ročni,8490
Golf,2010,219000,dizel,1968,103,ročni,7600
Golf,2006,263000,dizel,1968,103,ročni,4990
Golf,2006,290000,dizel,1968,103,ročni,3500
Golf,2011,203538,dizel,1598,77,ročni,7790
Golf,2015,132524,dizel,1598,81,ročni,10600
Golf,2008,212000,dizel,1896,66,ročni,4690
Golf,2006,242530,dizel,1896,66,ročni,3430
Golf,2005,175000,dizel,1896,77,ročni,5300
Golf,2014,145000,dizel,1598,81,ročni,9850
Golf,1988,198500,dizel,1588,44,ročni,550
Golf,2010,160000,dizel,1598,77,ročni,6390
Golf,1997,275000,dizel,1896,47,ročni,950
Golf,2013,121000,dizel,1598,77,ročni,10800
Golf,2005,290000,dizel,1896,66,ročni,3490
Golf,2018,11000,bencin,1984,180,avtomatski,27700
Golf,2004,139000,bencin,1595,75,ročni,2580
Golf,2006,274000,dizel,1896,77,ročni,4950
Golf,2006,326389,dizel,1896,66,ročni,3000
Golf,2000,268000,dizel,1896,66,ročni,1499
Golf,2008,142000,dizel,1896,96,ročni,6800
Golf,1995,227900,bencin,1598,55,ročni,490
Golf,2011,127000,dizel,1598,66,ročni,6800
Golf,2013,137820,dizel,1968,103,ročni,13990
Golf,1999,331000,dizel,1896,66,ročni,890
Golf,2005,324000,dizel,1968,103,ročni,3390
Golf,2013,158000,dizel,1968,110,ročni,11500
Golf,2008,200000,dizel,1968,103,ročni,1100
Golf,2014,139385,dizel,1598,81,ročni,10580
Golf,2015,117650,dizel,1598,81,ročni,12490
Golf,2009,170000,dizel,1968,81,ročni,7100
Golf,2006,258000,dizel,1896,66,ročni,4090
Golf,2013,166000,dizel,1589,77,ročni,7700
Golf,2011,271000,dizel,1598,66,ročni,5990
Golf,2014,129000,dizel,1968,110,ročni,14900
Golf,2005,227000,dizel,1896,50,ročni,2390
Golf,2014,100000,dizel,1598,77,ročni,10990
Golf,2004,265000,dizel,1896,77,ročni,3450
Golf,2015,138900,dizel,1968,110,avtomatski,12990
Golf,2015,134136,dizel,1968,110,avtomatski,13299
Golf,2005,231000,dizel,1968,103,ročni,3890
